name,games,win_percent,score_avg,goal_avg,assist_avg,save_avg,shot_avg,shot_percent,goal_participation_percent,overall_rating_avg

2Die4,80,67.50%,491.24,1.35,0.85,1.75,3.40,39.71%,73.64%,1.418

ReaLize,111,75.68%,446.88,1.21,0.85,1.23,3.45,34.99%,72.15%,1.314

trk511,107,81.31%,444.15,1.14,0.77,1.61,3.82,29.83%,61.82%,1.290

Darth.,79,83.54%,414.86,1.25,0.76,1.06,3.90,32.14%,59.77%,1.277

Hawk,189,58.73%,455.52,1.24,0.56,1.55,3.89,31.79%,72.65%,1.276

Snowyy,92,81.52%,439.33,1.08,0.93,1.38,3.32,32.46%,59.11%,1.273

Gon,57,63.16%,419.42,1.09,0.93,1.09,3.19,34.07%,72.33%,1.255

oKhaliD,87,86.21%,440.78,1.01,0.80,1.63,3.05,33.21%,55.05%,1.254

YoPeGo,75,48.00%,437.91,1.21,0.52,1.49,3.23,37.60%,67.36%,1.251

EliakimZA,56,55.36%,468.66,0.89,0.71,2.16,3.05,29.24%,66.18%,1.232

LCT,133,72.93%,403.21,1.17,0.67,1.08,3.44,34.06%,64.99%,1.223

Olympic.,71,52.11%,449.34,1.04,0.59,1.92,3.04,34.26%,71.60%,1.222

Gambit,66,66.67%,285.38,1.23,0.82,1.20,3.58,34.32%,63.08%,1.222

Archie,468,56.20%,474.08,0.84,0.67,2.21,3.52,23.83%,71.60%,1.217

T7LM,51,58.82%,446.08,0.98,0.61,1.57,4.29,22.83%,72.32%,1.216

Maxeew,111,79.28%,418.31,0.95,0.93,1.20,3.25,29.36%,63.72%,1.215

Nemoto,90,64.44%,423.47,1.02,0.80,1.41,3.17,32.28%,64.82%,1.211

popo,90,64.44%,420.20,0.97,0.92,1.20,3.24,29.79%,67.19%,1.210

Night.,80,56.25%,441.41,1.02,0.50,1.96,3.44,29.82%,63.21%,1.187

Seikoo,135,57.78%,439.76,0.96,0.53,1.84,3.64,26.22%,72.99%,1.186

Smw.,77,64.94%,429.47,0.96,0.65,1.70,3.52,27.31%,62.31%,1.178

EclaiL,58,37.93%,415.67,1.14,0.48,1.29,3.72,30.56%,78.33%,1.178

Firstkiller,547,55.39%,460.23,0.85,0.58,2.02,3.37,25.20%,68.81%,1.171

caard,876,66.44%,429.33,0.94,0.63,1.63,3.38,27.96%,63.16%,1.170

M7sN,94,56.38%,431.91,0.85,0.66,1.98,3.37,25.24%,65.44%,1.167

Siki,601,59.57%,407.61,0.98,0.69,1.48,3.52,27.85%,64.57%,1.166

Ronaky,438,51.60%,422.09,0.99,0.52,1.68,3.53,28.11%,70.44%,1.164

Ahmad,107,81.31%,386.64,0.99,0.82,1.05,3.30,30.03%,58.79%,1.158

kamz,80,67.50%,406.18,0.88,0.85,1.49,3.13,28.00%,57.74%,1.156

math,371,58.76%,430.83,0.95,0.59,1.58,3.62,26.14%,67.81%,1.151

