name,region,Players,stats
00 Nation,EU,"['Player: ""name"": ""Breezi"", ""games"": 306, ""win %"": 48.04%, ""score avg"": 399.22, ""goal avg"": 0.69, ""assist avg"": 0.49, ""save avg"": 1.69, ""shot avg"": 2.89, ""shot %"": 23.95%, ""goal participation %"": 64.48%, ""rating"": 0.999', 'Player: ""name"": ""FlamE"", ""games"": 620, ""win %"": 50.97%, ""score avg"": 341.18, ""goal avg"": 0.59, ""assist avg"": 0.53, ""save avg"": 1.55, ""shot avg"": 2.46, ""shot %"": 23.95%, ""goal participation %"": 57.50%, ""rating"": 0.926', 'Player: ""name"": ""hibbs"", ""games"": 306, ""win %"": 48.04%, ""score avg"": 373.83, ""goal avg"": 0.60, ""assist avg"": 0.51, ""save avg"": 1.80, ""shot avg"": 2.57, ""shot %"": 23.28%, ""goal participation %"": 60.04%, ""rating"": 0.952', 'Player: ""name"": ""Ethzn"", ""games"": 0, ""win %"": 100.0, ""score avg"": 0.0, ""goal avg"": 0.0, ""assist avg"": 0.0, ""save avg"": 0.0, ""shot avg"": 0.0, ""shot %"": 100.0, ""goal participation %"": 0.0, ""rating"": 1.0']","[410.6666666666667, 0.4901666666666666, 371.41, 0.6266666666666666, 0.51, 1.68, 2.64, 0.2372666666666667, 0.959]"
1620 Kings,OCE,"['Player: ""name"": ""Aimz"", ""games"": 82, ""win %"": 52.44%, ""score avg"": 392.46, ""goal avg"": 0.79, ""assist avg"": 0.56, ""save avg"": 1.45, ""shot avg"": 3.20, ""shot %"": 24.81%, ""goal participation %"": 64.16%, ""rating"": 1.043', 'Player: ""name"": ""Jaffa"", ""games"": 90, ""win %"": 50.00%, ""score avg"": 349.79, ""goal avg"": 0.71, ""assist avg"": 0.37, ""save avg"": 1.43, ""shot avg"": 2.54, ""shot %"": 27.95%, ""goal participation %"": 53.30%, ""rating"": 0.893']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1NE eSports,ASIA,"['Player: ""name"": ""Poofy"", ""games"": 57, ""win %"": 63.16%, ""score avg"": 350.84, ""goal avg"": 0.68, ""assist avg"": 0.72, ""save avg"": 1.23, ""shot avg"": 3.05, ""shot %"": 22.41%, ""goal participation %"": 56.34%, ""rating"": 0.983']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
ANKAA,ME,"['Player: ""name"": ""Rw9"", ""games"": 0, ""win %"": 100.0, ""score avg"": 0.0, ""goal avg"": 0.0, ""assist avg"": 0.0, ""save avg"": 0.0, ""shot avg"": 0.0, ""shot %"": 100.0, ""goal participation %"": 0.0, ""rating"": 1.0', 'Player: ""name"": ""T7lm"", ""games"": 51, ""win %"": 58.82%, ""score avg"": 446.08, ""goal avg"": 0.98, ""assist avg"": 0.61, ""save avg"": 1.57, ""shot avg"": 4.29, ""shot %"": 22.83%, ""goal participation %"": 72.32%, ""rating"": 1.216', 'Player: ""name"": ""crespor"", ""games"": 0, ""win %"": 100.0, ""score avg"": 0.0, ""goal avg"": 0.0, ""assist avg"": 0.0, ""save avg"": 0.0, ""shot avg"": 0.0, ""shot %"": 100.0, ""goal participation %"": 0.0, ""rating"": 1.0']","[17.0, 0.19606666666666667, 148.69333333333333, 0.32666666666666666, 0.20333333333333334, 0.5233333333333333, 1.43, 0.0761, 0.4053333333333333]"
ATK,AF,"['Player: ""name"": ""Arceon"", ""games"": 92, ""win %"": 60.87%, ""score avg"": 362.66, ""goal avg"": 0.84, ""assist avg"": 0.61, ""save avg"": 1.41, ""shot avg"": 2.75, ""shot %"": 30.43%, ""goal participation %"": 53.63%, ""rating"": 1.032', 'Player: ""name"": ""SchalkG"", ""games"": 92, ""win %"": 60.87%, ""score avg"": 386.68, ""goal avg"": 0.90, ""assist avg"": 0.72, ""save avg"": 1.37, ""shot avg"": 2.90, ""shot %"": 31.09%, ""goal participation %"": 60.08%, ""rating"": 1.130', 'Player: ""name"": ""Werty"", ""games"": 92, ""win %"": 60.87%, ""score avg"": 382.24, ""goal avg"": 0.96, ""assist avg"": 0.72, ""save avg"": 1.38, ""shot avg"": 2.87, ""shot %"": 33.33%, ""goal participation %"": 62.10%, ""rating"": 1.125']","[92.0, 0.6087, 377.1933333333333, 0.9, 0.6833333333333332, 1.3866666666666667, 2.84, 0.31616666666666665, 1.0956666666666666]"
AW3 Esports,EU,"['Player: ""name"": ""FiremanJonas"", ""games"": 0, ""win %"": 100.0, ""score avg"": 0.0, ""goal avg"": 0.0, ""assist avg"": 0.0, ""save avg"": 0.0, ""shot avg"": 0.0, ""shot %"": 100.0, ""goal participation %"": 0.0, ""rating"": 1.0', 'Player: ""name"": ""Inferno"", ""games"": 0, ""win %"": 100.0, ""score avg"": 0.0, ""goal avg"": 0.0, ""assist avg"": 0.0, ""save avg"": 0.0, ""shot avg"": 0.0, ""shot %"": 100.0, ""goal participation %"": 0.0, ""rating"": 1.0', 'Player: ""name"": ""Seeb"", ""games"": 0, ""win %"": 100.0, ""score avg"": 0.0, ""goal avg"": 0.0, ""assist avg"": 0.0, ""save avg"": 0.0, ""shot avg"": 0.0, ""shot %"": 100.0, ""goal participation %"": 0.0, ""rating"": 1.0']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
AXLE-R8,NA,"['Player: ""name"": ""Bambii"", ""games"": 177, ""win %"": 45.20%, ""score avg"": 381.67, ""goal avg"": 0.66, ""assist avg"": 0.57, ""save avg"": 1.68, ""shot avg"": 2.60, ""shot %"": 25.16%, ""goal participation %"": 64.97%, ""rating"": 1.005', 'Player: ""name"": ""Jbot"", ""games"": 177, ""win %"": 45.20%, ""score avg"": 369.53, ""goal avg"": 0.66, ""assist avg"": 0.50, ""save avg"": 1.69, ""shot avg"": 2.79, ""shot %"": 23.53%, ""goal participation %"": 61.38%, ""rating"": 0.989', 'Player: ""name"": ""Tool"", ""games"": 162, ""win %"": 45.68%, ""score avg"": 356.63, ""goal avg"": 0.58, ""assist avg"": 0.49, ""save avg"": 1.71, ""shot avg"": 2.58, ""shot %"": 22.49%, ""goal participation %"": 58.19%, ""rating"": 0.923', 'Player: ""name"": ""Faded"", ""games"": 0, ""win %"": 100.0, ""score avg"": 0.0, ""goal avg"": 0.0, ""assist avg"": 0.0, ""save avg"": 0.0, ""shot avg"": 0.0, ""shot %"": 100.0, ""goal participation %"": 0.0, ""rating"": 1.0', 'Player: ""name"": ""Wronskian"", ""games"": 0, ""win %"": 100.0, ""score avg"": 0.0, ""goal avg"": 0.0, ""assist avg"": 0.0, ""save avg"": 0.0, ""shot avg"": 0.0, ""shot %"": 100.0, ""goal participation %"": 0.0, ""rating"": 1.0']","[172.0, 0.45360000000000006, 369.27666666666664, 0.6333333333333333, 0.5199999999999999, 1.6933333333333334, 2.6566666666666667, 0.23726666666666663, 0.9723333333333333]"
AllMid,NA,"['Player: ""name"": ""Angel"", ""games"": 0, ""win %"": 100.0, ""score avg"": 0.0, ""goal avg"": 0.0, ""assist avg"": 0.0, ""save avg"": 0.0, ""shot avg"": 0.0, ""shot %"": 100.0, ""goal participation %"": 0.0, ""rating"": 1.0', 'Player: ""name"": ""Flitz"", ""games"": 0, ""win %"": 100.0, ""score avg"": 0.0, ""goal avg"": 0.0, ""assist avg"": 0.0, ""save avg"": 0.0, ""shot avg"": 0.0, ""shot %"": 100.0, ""goal participation %"": 0.0, ""rating"": 1.0', 'Player: ""name"": ""kirii"", ""games"": 71, ""win %"": 38.03%, ""score avg"": 385.69, ""goal avg"": 0.77, ""assist avg"": 0.48, ""save avg"": 1.55, ""shot avg"": 2.83, ""shot %"": 27.36%, ""goal participation %"": 72.36%, ""rating"": 1.044', 'Player: ""name"": ""ChiefWalrus"", ""games"": 0, ""win %"": 100.0, ""score avg"": 0.0, ""goal avg"": 0.0, ""assist avg"": 0.0, ""save avg"": 0.0, ""shot avg"": 0.0, ""shot %"": 100.0, ""goal participation %"": 0.0, ""rating"": 1.0']","[23.666666666666668, 0.12676666666666667, 128.56333333333333, 0.25666666666666665, 0.16, 0.5166666666666667, 0.9433333333333334, 0.09119999999999999, 0.34800000000000003]"
BS+COMPETITION,EU,"['Player: ""name"": ""FreaKii."", ""games"": 626, ""win %"": 48.88%, ""score avg"": 375.98, ""goal avg"": 0.68, ""assist avg"": 0.51, ""save avg"": 1.93, ""shot avg"": 3.08, ""shot %"": 22.06%, ""goal participation %"": 61.96%, ""rating"": 1.011', 'Player: ""name"": ""Godsmilla"", ""games"": 293, ""win %"": 46.42%, ""score avg"": 331.37, ""goal avg"": 0.51, ""assist avg"": 0.45, ""save avg"": 1.49, ""shot avg"": 2.64, ""shot %"": 19.40%, ""goal participation %"": 53.31%, ""rating"": 0.838', 'Player: ""name"": ""Rezears"", ""games"": 56, ""win %"": 28.57%, ""score avg"": 329.59, ""goal avg"": 0.45, ""assist avg"": 0.39, ""save avg"": 1.45, ""shot avg"": 2.02, ""shot %"": 22.12%, ""goal participation %"": 63.51%, ""rating"": 0.778', 'Player: ""name"": ""MillenNiuM"", ""games"": 0, ""win %"": 100.0, ""score avg"": 0.0, ""goal avg"": 0.0, ""assist avg"": 0.0, ""save avg"": 0.0, ""shot avg"": 0.0, ""shot %"": 100.0, ""goal participation %"": 0.0, ""rating"": 1.0']","[325.0, 0.4129, 345.6466666666667, 0.5466666666666666, 0.45, 1.6233333333333333, 2.58, 0.2119333333333333, 0.8756666666666666]"
Bandits ESC,OCE,"['Player: ""name"": ""Hawk"", ""games"": 189, ""win %"": 58.73%, ""score avg"": 455.52, ""goal avg"": 1.24, ""assist avg"": 0.56, ""save avg"": 1.55, ""shot avg"": 3.89, ""shot %"": 31.79%, ""goal participation %"": 72.65%, ""rating"": 1.276', 'Player: ""name"": ""Spratt"", ""games"": 397, ""win %"": 53.90%, ""score avg"": 332.52, ""goal avg"": 0.65, ""assist avg"": 0.55, ""save avg"": 1.24, ""shot avg"": 2.41, ""shot %"": 26.99%, ""goal participation %"": 55.61%, ""rating"": 0.917', 'Player: ""name"": ""zayd"", ""games"": 360, ""win %"": 52.50%, ""score avg"": 394.36, ""goal avg"": 0.80, ""assist avg"": 0.59, ""save avg"": 1.74, ""shot avg"": 2.83, ""shot %"": 28.19%, ""goal participation %"": 62.48%, ""rating"": 1.069']","[315.3333333333333, 0.5504333333333333, 394.1333333333334, 0.8966666666666668, 0.5666666666666668, 1.51, 3.0433333333333334, 0.2899, 1.0873333333333333]"
